fecha,tipo_vuelo,categoria,aeronave,semana,num_operaciones
2022-05-30,Llegada,Comercial,Avión,11,6
2022-05-30,Llegada,Privado,Avión,11,1
2022-05-30,Salida,Comercial,Avión,11,6
2022-05-30,Salida,Privado,Avión,11,5
2022-05-31,Llegada,Comercial,Avión,11,6
2022-05-31,Llegada,Privado,Avión,11,1
2022-05-31,Salida,Comercial,Avión,11,6
2022-05-31,Salida,FAM,Avión,11,2
2022-05-31,Salida,Privado,Avión,11,1
2022-06-01,Llegada,Comercial,Avión,11,6
2022-06-01,Llegada,FAM,Avión,11,1
2022-06-01,Salida,Comercial,Avión,11,6
2022-06-01,Salida,Privado,Avión,11,1
2022-06-02,Llegada,Comercial,Avión,11,6
2022-06-02,Llegada,FAM,Avión,11,1
2022-06-02,Salida,Comercial,Avión,11,6
2022-06-02,Salida,FAM,Avión,11,1
2022-06-03,Llegada,Comercial,Avión,11,5
2022-06-03,Llegada,FAM,Avión,11,1
2022-06-03,Salida,Comercial,Avión,11,5
2022-06-04,Llegada,Comercial,Avión,11,5
2022-06-04,Llegada,FAM,Avión,11,1
2022-06-04,Salida,Comercial,Avión,11,5
2022-06-04,Salida,FAM,Avión,11,1
2022-06-05,Llegada,Comercial,Avión,11,6
2022-06-05,Salida,Comercial,Avión,11,6
2022-06-05,Salida,FAM,Avión,11,1
2022-06-06,Llegada,Comercial,Avión,12,6
2022-06-06,Salida,Comercial,Avión,12,6
2022-06-06,Salida,FAM,Avión,12,1
2022-06-07,Llegada,Comercial,Avión,12,7
2022-06-07,Llegada,FAM,Avión,12,1
2022-06-07,Salida,Comercial,Avión,12,7
2022-06-07,Salida,FAM,Avión,12,1
2022-06-08,Llegada,Comercial,Avión,12,6
2022-06-08,Llegada,FAM,Avión,12,3
2022-06-08,Llegada,Privado,Avión,12,1
2022-06-08,Salida,Comercial,Avión,12,6
2022-06-08,Salida,FAM,Avión,12,3
2022-06-08,Salida,Privado,Avión,12,1
2022-06-09,Llegada,Comercial,Avión,12,6
2022-06-09,Llegada,FAM,Avión,12,1
2022-06-09,Salida,Comercial,Avión,12,6
2022-06-09,Salida,FAM,Avión,12,1
2022-06-10,Llegada,Comercial,Avión,12,6
2022-06-10,Llegada,FAM,Avión,12,7
2022-06-10,Salida,Comercial,Avión,12,6
2022-06-10,Salida,FAM,Avión,12,3
2022-06-11,Llegada,Comercial,Avión,12,6
2022-06-11,Llegada,FAM,Avión,12,1
2022-06-11,Salida,Comercial,Avión,12,6
2022-06-11,Salida,FAM,Avión,12,1
2022-06-12,Llegada,Comercial,Avión,12,5
2022-06-12,Llegada,FAM,Avión,12,4
2022-06-12,Salida,Comercial,Avión,12,5
2022-06-12,Salida,FAM,Avión,12,3
2022-06-13,Llegada,Comercial,Avión,13,6
2022-06-13,Llegada,FAM,Avión,13,1
2022-06-13,Llegada,Privado,Avión,13,1
2022-06-13,Salida,Comercial,Avión,13,6
2022-06-13,Salida,FAM,Avión,13,2
2022-06-13,Salida,Privado,Avión,13,1
2022-06-14,Llegada,Comercial,Avión,13,6
2022-06-14,Salida,Comercial,Avión,13,6
2022-06-15,Llegada,Comercial,Avión,13,7
2022-06-15,Llegada,Privado,Avión,13,1
2022-06-15,Salida,Comercial,Avión,13,7
2022-06-15,Salida,Privado,Avión,13,1
2022-06-16,Llegada,Comercial,Avión,13,6
2022-06-16,Llegada,FAM,Avión,13,5
2022-06-16,Salida,Comercial,Avión,13,6
2022-06-16,Salida,FAM,Avión,13,6
2022-06-17,Llegada,Comercial,Avión,13,6
2022-06-17,Llegada,FAM,Avión,13,3
2022-06-17,Salida,Comercial,Avión,13,6
2022-06-17,Salida,FAM,Avión,13,1
2022-06-18,Llegada,Comercial,Avión,13,6
2022-06-18,Llegada,FAM,Avión,13,4
2022-06-18,Salida,Comercial,Avión,13,6
2022-06-18,Salida,FAM,Avión,13,3
2022-06-18,Salida,Privado,Avión,13,1
2022-06-19,Llegada,Comercial,Avión,13,6
2022-06-19,Llegada,FAM,Avión,13,3
2022-06-19,Salida,Comercial,Avión,13,6
2022-06-19,Salida,FAM,Avión,13,2
2022-06-20,Llegada,Comercial,Avión,14,6
2022-06-20,Salida,Comercial,Avión,14,6
2022-06-21,Llegada,Comercial,Avión,14,7
2022-06-21,Salida,Comercial,Avión,14,7
2022-06-21,Salida,FAM,Avión,14,1
2022-06-22,Llegada,Comercial,Avión,14,6
2022-06-22,Salida,Comercial,Avión,14,6
2022-06-22,Salida,Privado,Avión,14,1
2022-06-23,Llegada,Comercial,Avión,14,6
2022-06-23,Llegada,Privado,Avión,14,1
2022-06-23,Salida,Comercial,Avión,14,6
2022-06-23,Salida,Privado,Avión,14,1
2022-06-24,Llegada,Comercial,Avión,14,6
2022-06-24,Llegada,FAM,Avión,14,1
2022-06-24,Salida,Comercial,Avión,14,6
2022-06-24,Salida,FAM,Avión,14,2
2022-06-25,Llegada,Comercial,Avión,14,5
2022-06-25,Llegada,FAM,Avión,14,1
2022-06-25,Salida,Comercial,Avión,14,5
2022-06-26,Llegada,Comercial,Avión,14,6
2022-06-26,Salida,Comercial,Avión,14,6
2022-06-27,Llegada,Comercial,Avión,15,5
2022-06-27,Llegada,FAM,Avión,15,2
2022-06-27,Salida,Comercial,Avión,15,5
2022-06-27,Salida,FAM,Avión,15,4
2022-06-28,Llegada,Comercial,Avión,15,6
2022-06-28,Salida,Comercial,Avión,15,6
2022-06-29,Llegada,Comercial,Avión,15,6
2022-06-29,Llegada,FAM,Avión,15,2
2022-06-29,Llegada,FAM,Helicóptero,15,1
2022-06-29,Llegada,Privado,Avión,15,1
2022-06-29,Salida,Comercial,Avión,15,6
2022-06-29,Salida,FAM,Avión,15,1
