año,mes,mes_numero,tipo,origen,destino,compañia,tipo_avion,capacidad,fuente
2022,Octubre,10,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Agosto,8,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Mérida,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Agosto,8,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Mexicali,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Guadalajara,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Guadalajara,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Guadalajara,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Guadalajara,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Guadalajara,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Pto. Vallarta,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Pto. Vallarta,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Pto. Vallarta,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Pto. Vallarta,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
